state,sex,race,age,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
-1.0,-1.0,1.0,3.0,30579.835145323064,31939.254526681627,31899.450517685713,33588.61003284933,34949.628381576316,35119.80255295278,34829.63739055332,35759.87738218584,35829.6465164279,34519.718652063595,34609.33874735792,34099.51439807516,34359.637008554775,31660.105368779583,31829.767613487642,30499.858537462627,29250.094546698834,28149.517840097327
-1.0,-1.0,1.0,4.0,37948.129079753904,37449.70563581482,39559.11296669685,40379.133043787144,41289.19315516891,41688.1860328309,41059.36830294601,45059.38431689684,44998.6206255609,46668.904122533386,47719.72051910129,49729.19340636577,54109.443961113546,56039.67308507248,56718.96047425748,57719.72582776177,59819.47543751236,59840.62739668173
-1.0,-1.0,1.0,5.0,54457.721680976894,52359.07404068576,50840.44996410348,52058.529841882235,50708.726124619774,48927.24285842353,49889.257984610405,48888.21103475265,49867.1151500041,50118.47072164723,50558.29110362033,52499.42028884299,52330.54645714329,53978.66208769846,56298.732389440345,59458.48800577879,62648.41536903085,64609.604407841936
-1.0,-1.0,1.0,6.0,61425.63117810715,60224.0706782934,61059.8585370799,60291.379259369794,60435.93176561242,58143.40433624262,58396.77614454693,57577.12450488247,57397.20531059595,57695.6729411989,57359.95711079226,57830.459668269425,57056.97651939834,58169.007212337754,58156.71349264664,59028.60426969759,59909.11286512822,60747.67504956961
-1.0,-1.0,1.0,7.0,46561.88386230714,47103.69369113752,45919.19085931019,45549.06395601545,44425.15232366706,44727.085483779796,46050.801113758345,46450.20154385364,47857.29051484536,49987.1906020748,50666.755289056244,50875.55458291472,53225.56368849619,53865.82406072269,54290.65433011599,54936.50862264807,54797.994326788976,54348.34533653124
-1.0,-1.0,2.0,0.0,2480.0046423583913,2699.811874581988,2729.85951682769,2930.0026169495477,3079.939786022932,3099.98218231262,3049.934128610385,3069.964750573796,2989.9703560513235,3050.013182289508,3179.940466340381,3069.947304763714,3159.9937569878075,3099.9869529799626,3070.000762975235,3119.9555739594457,3129.9843555918346,3099.9204384145582
-1.0,-1.0,2.0,1.0,5049.9473372025095,5299.973511991968,5629.885168478944,5839.964775029866,5609.9745679748285,5969.9354006095255,5919.878172568661,5719.9551214767325,5920.012647593,5989.971693334209,6229.946628222587,6469.953553083615,6679.921089726049,6459.970610067776,6539.929329350363,6609.873391423464,6620.021504745995,6509.9624011750075
-1.0,-1.0,2.0,2.0,7350.023331185555,7799.9249056315575,8000.038748208887,8039.996874755786,8379.953379831026,8459.924711941929,8199.939757814034,8599.928358823088,8179.855187764131,8509.919306183454,8680.002208860249,8430.043234460882,8429.95090904464,8819.932300584449,8750.105633311468,8920.027996003739,9079.909280819382,9080.035640431817
-1.0,-1.0,2.0,3.0,9560.243737177903,10249.723515021287,11099.560320887986,10849.925467347077,12359.926286129823,12479.83893540113,12329.810155402953,13719.829430576883,13390.040419333967,13859.613571893085,14709.968417640233,14189.89791108803,14749.713494471485,15129.878526281647,15530.044452666385,16119.806469938081,15679.701748544967,16189.872155131103
-1.0,-1.0,2.0,4.0,12179.536788159532,12679.599691849582,13479.89668663738,13689.69530963391,13809.606127058521,14000.003628849807,15369.626570661669,16649.531762538383,17169.600860772185,18149.919246454545,18490.025427193963,19009.57245311515,21089.724522398305,21399.76592810295,22699.523963921674,24199.75508777773,25159.10491574954,27469.95345158483
-1.0,-1.0,2.0,5.0,19269.14030005512,19750.115869546993,18838.26176374741,20927.98343664827,19668.517580899355,19728.457262888012,19048.90437496174,19668.706662881425,20779.05747107754,21388.122267428662,21548.891443751556,22579.10116182759,23448.873653183167,25009.56704992269,25749.52858255634,27649.83460791761,28589.285704522023,30349.709678653853
-1.0,-1.0,2.0,6.0,20527.781943456754,21228.59198825461,23421.62123396462,24127.404067384006,25407.0507695579,26516.582662891095,27997.849834275446,28098.805075698143,27807.589540439883,28889.90543683942,30088.234227522273,31479.527690945564,31357.560808058926,32767.386649709442,33918.758982360254,34867.761998357295,34971.46214951713,37859.22129465484
-1.0,-1.0,2.0,7.0,17386.869244833077,17924.1455750372,18839.18510623849,18749.85778427548,18948.44680994429,19531.806791996547,20710.213495742933,21927.68596023102,22966.659445094094,24706.958314980464,26448.877583728485,28718.99550788257,30285.893402507674,32077.27069034133,34099.70445052211,35834.47698190321,38118.15143925893,39984.3261893376
-1.0,-1.0,3.0,0.0,470.00699821920597,519.8730607511338,600.0266244677752,669.9023529200301,690.0147238440755,729.8939774568852,709.8576872013637,709.9248692291799,720.0275367335431,729.9672433300732,739.964327469528,759.9826998138022,779.9192774699436,829.9902167599834,860.0118268375608,839.930800447364,859.8319279749694,879.9417864686533
-1.0,-1.0,3.0,1.0,1169.8915807607482,1149.9323408364978,1290.0348291047499,1369.9632626481985,1369.8532196220892,1469.8928273600666,1440.048254085246,1499.9325533620777,1549.9724040898434,1589.9096182451276,1619.9287194612368,1619.8258764502527,1749.8794103752084,1769.909821199858,1889.9235113153977,1899.9415090910502,1980.0244770828303,2039.981452449117
-1.0,-1.0,3.0,2.0,2049.9354571519752,2279.9288443096425,2419.883299896225,2480.09170434073,2550.016633907055,2519.942719038988,2590.0302274342457,2859.9422544949784,2689.9360870769115,2809.7700227164883,2859.9081915091515,2840.0591087476905,2909.924450901546,2909.871175893904,2999.900361303269,3049.950352564436,3209.9001700556905,3219.7661395903497
-1.0,-1.0,3.0,3.0,3749.893415232089,3789.5156581966503,4439.7985289062435,4429.686471275578,4499.992434360326,4829.715422902989,4789.955241119853,5149.821046995042,5110.171074554944,5229.788564305414,5479.766624164748,5439.954423415355,5410.244588660894,5749.540548742335,5999.94550249652,5739.858668248945,6109.822059718403,6129.385487041763
-1.0,-1.0,3.0,4.0,5349.300852279341,5039.8573947665545,5919.844320480307,6439.873474778861,6249.393373463176,6380.090306472341,6979.40023685646,7169.485255558401,7389.34155208156,7689.657755125969,8070.032327262212,8509.697807119226,9209.391165257943,9460.078868876555,9749.652183242222,10509.815107398903,10539.37744343224,11190.065178091902
-1.0,-1.0,3.0,5.0,8099.233682651148,7989.286636889428,8409.891930383492,8678.893427070772,9209.036971573434,8578.557726777684,9128.731530796036,10050.279079145084,9829.417376452708,10169.100003357751,10419.657942881664,10699.33422989102,11389.419421632401,11619.90272098575,12259.698252095855,13510.038762594397,14620.257230435309,14859.324012413066
-1.0,-1.0,3.0,6.0,10264.969771668779,10659.831908628548,11538.11672160091,11988.155150058388,12227.561858710078,12967.42961070211,13589.503516440898,13849.313365047312,13919.62442481504,14270.055184963385,14606.296419083066,14809.33803935338,15568.65863100305,16019.470808433556,16498.807483061788,16617.725247328002,18077.847931245808,18637.84426849178
-1.0,-1.0,3.0,7.0,7105.590414323211,8025.080212504471,8624.716409460156,8578.569476679266,9926.051276487751,10038.179009189924,10437.914643664251,11642.13879601341,12552.951913701649,13371.647895371862,14203.804017692259,15219.314052659172,16279.953199799755,17284.28673114092,18419.22296761972,19622.447625465964,20882.495959715674,21914.23766454774
-1.0,0.0,0.0,0.0,6069.982474105074,6519.955480256734,7009.983317696512,7399.941474550911,7719.95291323126,7869.978620389485,8019.942073502242,7949.984773397769,7829.960511627345,7599.979584709823,7359.984394106943,7159.985574334384,7619.9325740749255,7609.972324045076,7479.959558853045,7439.955228514557,7289.989336591819,7149.969444931707
-1.0,0.0,0.0,1.0,15979.989059421654,15900.002953487987,15609.951459488993,15599.970144307574,15509.951583550175,15569.962980334629,15639.956243475262,15749.985378620164,15939.9976295251,16339.962214536194,16710.00572949209,17259.98220845168,17779.9825988708,18330.03217973696,19009.964261209265,19579.875951786264,20479.984572371704,20939.966694839506
-1.0,0.0,0.0,2.0,36789.95570088591,36390.02235790238,36049.98799715556,35859.97322018488,34769.95319208936,33779.94409241087,32759.833714009354,31829.955059418535,31300.020663992134,30399.93412867561,29239.957649458294,28079.927683429625,28389.93928432655,27849.976013803338,27549.98211117026,26849.87522072893,26720.02646884687,26259.89803833628
-1.0,0.0,0.0,3.0,67899.84140061586,71529.98258821666,73599.7745204513,75189.87909088224,76719.91325475105,74749.83634571618,75809.82695318143,77249.84641559122,78840.12137135031,78419.77315828571,77449.96160677433,76289.79521108563,77869.86978490587,74609.77806006072,73709.79487800054,71939.74727365735,70419.70268326577,68210.0118836526
-1.0,0.0,0.0,4.0,109369.77711280735,107179.89490004125,108929.695682449,112169.49334861246,116639.61474437054,116760.09977674966,122089.74752948529,125950.02824304697,129499.89722123138,130239.64089482909,134349.8769761502,139779.8214189241,145679.93066804617,147829.43585946318,147699.82696807903,152479.79070739364,156369.94149911593,159229.9702254594
-1.0,0.0,0.0,5.0,212479.61199230718,198849.0828628709,193988.84174622069,189379.32448322032,183788.37283733088,177069.52562654877,174799.9931298066,172629.35281105645,175209.70751277436,178751.17954716392,181239.71084523812,182349.14975965285,186278.89354789737,195569.96461736373,202459.66642433032,210149.99909871942,218229.82049921912,224369.91306560385
